ocid,title,agency,planned_budget_amount,award_start,award_end,tender_date,district,sector,source_ref
ocds-rw2stw-2DROB-1610/DROBKT/02-015/074/075,Structural & Blacktop works of Dhulikhel Panauti Sadak Kavre.  ,204 Division Road Office Bhaktapur,,,,2017-08-27 06:00:00+05:45,Bhaktapur,Roads/Drainage,217
ocds-rw2stw-2DROB-1613/DROBKT/02-018/074/075,Upgrading Works of Sallaghari-Duwakot road Bhaktapur.  ,204 Division Road Office Bhaktapur,,,,2017-08-27 06:00:00+05:45,Bhaktapur,Roads/Drainage,225
ocds-rw2stw-2DROB-1614/DROBKT/02-019/074/075," Road Upgrading Works of Chayamasingh Nala Banepa Road (F097), Kavre  ",204 Division Road Office Bhaktapur,,,,2017-08-27 06:00:00+05:45,Bhaktapur,Roads/Drainage,232
ocds-rw2stw-2DROB-1405/DROBKT/01-000001/074/075,Recurrent Maintenance works of F07101 Panchkhal(ARM)-Palanchok Bhagwati SRN Road in Kavre.,204 Division Road Office Bhaktapur,,,,2017-08-11 00:00:00+05:45,Bhaktapur,Roads/Drainage,175
ocds-rw2stw-2DROB-1412/DROBKT/01-00008/074/075,Recurrent Maintenance works of ARM(Sallaghari-Suryabinayak-sanga)and Trolley bus (ARM)-suryabinayak Chamelidanda (KVRR) in Bhaktapur.,204 Division Road Office Bhaktapur,,,,2017-08-11 00:00:00+05:45,Bhaktapur,Other/Uncategorized,187
ocds-rw2stw-2DROB-1408/DROBKT/01-000002/074/075,Recurrent maintenance works of sanga-punyamata bridge-banepa-chalnedhunga in kavre.,204 Division Road Office Bhaktapur,,,,2017-08-11 00:00:00+05:45,Bhaktapur,Roads/Drainage,188
ocds-rw2stw-2DROB-1407/DROBKT/01-000004/074/075,Recurrent maintenance works of Godavari-phulchowki-lakuribhanjyang-panauti-namabuddha-DSRM(H06) Road in Kavre.,204 Division Road Office Bhaktapur,,,,2017-08-11 00:00:00+05:45,Bhaktapur,Roads/Drainage,189
ocds-rw2stw-2DROB-1411/DROBKT/01-00007/074/075,"Recurrent Maintenance works of  sallghari-Duwakot,phuyalgaun-Changunarayan-Phedigaun and Sallaghari-Durbarsquare SRN Roads in Bhaktapur",204 Division Road Office Bhaktapur,,,,2017-08-11 00:00:00+05:45,Bhaktapur,Roads/Drainage,201
ocds-rw2stw-2DROB-1409/DROBKT/01-00005/074/075,Recurrent Maintenance works of chyamasing-Amadol-Nala Banepa and Jagati-Chyamasing-Kamalbinayak SRN roads in Bhaktapur.,204 Division Road Office Bhaktapur,,,,2017-08-11 00:00:00+05:45,Bhaktapur,Roads/Drainage,202
ocds-rw2stw-2DROB-1418/DROBKT/01-00006/074/075,Recurrent Maintenance works of kamalbinayak-sural-Adhikarigaun-Nagarkot1 in Bhaktapur District,204 Division Road Office Bhaktapur,,,,2017-08-11 00:00:00+05:45,Bhaktapur,Electric/ICT,203
ocds-rw2stw-2DROB-1413/DROBKT/01-000009/074/075,"Recurrent Maintenance works of Kausaltar-Balkot-siruwatar-Biruwa, Sallghari(ARM)-DRO-Katunje VDC and sallghari-katunje-sumlingtar Roads in Bhaktapur.",204 Division Road Office Bhaktapur,,,,2017-08-11 00:00:00+05:45,Bhaktapur,Roads/Drainage,209
ocds-rw2stw-2DROB-1410/DROBKT/01-000003/074/075,Recurrent Maintenance works of Bakhundol(ARM)-Bogatigaun-Ktm University Road and Banepa-Panauti-Khopasi Road in kavre.,204 Division Road Office Bhaktapur,,,,2017-08-11 00:00:00+05:45,Bhaktapur,Roads/Drainage,224
ocds-rw2stw-2DROB-1414/DROBKT/01-010/074/075,Recurrent Maintenance works of H0310 chalnedhunga-Khawa-Lamidanda-Dolalghat SRN Roads in kavre.,204 Division Road Office Bhaktapur,,,,2017-08-09 00:00:00+05:45,Bhaktapur,Roads/Drainage,192
